,y,emails
0,ham,go jurong point crazy available bugis n great world la e buffet cine get amore wat
1,ham,ok lar joke wif u oni
2,spam,free entry wkly comp win fa cup final tkts may text fa receive entry question std txt rate c apply
3,ham,u dun say early hor u c already say
4,ham,nah think go usf live around though
5,spam,freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv
6,ham,even brother like speak treat like aid patent
7,ham,per request melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
8,spam,winner value network customer select receivea prize reward claim call claim code valid hour
9,spam,mobile month u r entitle update latest colour mobile camera free call mobile update co free
10,ham,gon na home soon want talk stuff anymore tonight k cry enough today
11,spam,six chance win cash pound txt send cost tsandcs apply reply hl info
12,spam,urgent week free membership prize jackpot txt word claim c lccltd pobox
13,ham,search right word thank breather promise wont take help grant fulfil promise wonderful bless time
14,ham,date sunday
15,spam,xxxmobilemovieclub use credit click wap link next txt message click http
16,ham,oh k watch
17,ham,eh u remember spell name yes v naughty make v wet
18,ham,fine thatåõs way u feel thatåõs way gota b
19,spam,england v macedonia dont miss news txt ur national team eg england try wale scotland
20,ham,seriously spell name
21,ham,go try month ha ha joke
22,ham,pay first lar da stock comin
23,ham,aft finish lunch go str lor ard smth lor u finish ur lunch already
24,ham,ffffffffff alright way meet sooner
25,ham,force eat slice really hungry tho suck mark get worry know sick turn pizza lol
26,ham,lol always convince
27,ham,catch bus fry egg make tea eat mom leave dinner feel love
28,ham,back amp pack car let know room
29,ham,ahhh work vaguely remember feel like lol
30,ham,wait still clear sure sarcastic x want live u
31,ham,yeah get v apologetic n fall actin like spoil child get catch till wo go badly cheer
32,ham,k tell anything
33,ham,fear faint housework quick cuppa
34,spam,thank subscription ringtone uk mobile charge please confirm reply yes reply charge
35,ham,yup ok go home look time msg xuhui go learn may lesson
36,ham,oops let know roommate do
37,ham,see letter b car
38,ham,anything lor u decide
39,ham,hello saturday go texting see decide anything tomo try invite anything
40,ham,pls go ahead watt want sure great weekend abiola
41,ham,forget tell want need crave love sweet arabian steed mmmmmm yummy
42,spam,rodger burn msg try call reply sm free nokia mobile free camcorder please call delivery tomorrow
43,ham,see
44,ham,great hope like man well endow lt gt inch
45,ham,call message miss call
46,ham,get hep b immunisation nigeria
47,ham,fair enough anything go
48,ham,yeah hopefully tyler ca could maybe ask around bite
49,ham,u know stubborn even want go hospital keep tell mark weak sucker hospital weak sucker
50,ham,think first time saw class
51,ham,gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt
52,ham,k fyi x ride early tomorrow morning crash place tonight
53,ham,wow never realize embarassed accomodations think like since best could always seem happy sorry give sorry offer sorry room embarassing
54,spam,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
55,ham,know mallika sherawat yesterday find lt url gt
56,spam,congrats year special cinema pas call c suprman v etc free dont miss
57,ham,sorry call later meet
58,ham,tell reach
59,ham,yes gauti sehwag odi series
60,ham,gon na pick burger way home ca even move pain kill
61,ham,ha ha ha good joke girl situation seeker
62,ham,part check iq
63,ham,sorry roommate take forever ok come
64,ham,ok lar double check wif da hair dresser already say wun cut v short say cut look nice
65,spam,value customer please advise follow recent review mob award bonus prize call
66,ham,today dedicate day song u dedicate send ur valuable frnds first rply
67,spam,urgent ur award complimentary trip eurodisinc trav aco claim txt dis morefrmmob shracomorsglsuplt
68,spam,hear new come ken stuff
69,ham,plane give month end
70,ham,wah lucky man save money hee
71,ham,finish class
72,ham,hi babe im home wan na something xx
73,ham,k k perform
74,ham,u call
75,ham,wait machan call free
76,ham,thats cool gentleman treat dignity respect
77,ham,like people much shy pa
78,ham,operate lt gt
79,ham,still look job much ta earn
80,ham,sorry call later
81,ham,call ah
82,ham,ok way home hi hi
83,ham,place man
84,ham,yup next stop
85,ham,call later network urgnt sm
86,ham,real u get yo need ticket one jacket do already use multis
87,ham,yes start send request make pain come back back bed double coin factory get ta cash nitros
88,ham,really still tonight babe
89,ham,ela il download come wen ur free
90,ham,yeah stand close catch something
91,ham,sorry pain ok meet another night spend late afternoon casualty mean do include time sheet sorry
92,ham,smile pleasure smile pain smile trouble pour like rain smile hurt u smile becoz someone still love see u smile
93,spam,please call customer service representative guarantee cash prize
94,ham,havent plan buy later check already lido get show e afternoon u finish work already
95,spam,free ringtone wait collect simply text password verify get usher britney fml
96,ham,watch telugu movie wat abt u
97,ham,see finish load loan pay
98,ham,hi wk ok hols yes bite run forget hairdresser appointment four need get home n shower beforehand cause prob u ham
99,ham,please text anymore nothing else say
100,ham,okay name ur price long legal wen pick u ave x am xx
101,ham,still look car buy go drive test yet
102,ham,per request melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
103,ham,wow right mean guess give boston men change search location nyc something change cuz signin page still say boston
104,ham,umma life vava umma love lot dear
105,ham,thank lot wish birthday thank make birthday truly memorable
106,ham,aight hit get cash
107,ham,would ip address test consider computer minecraft server
108,ham,know grumpy old people mom like better lie always one play joke
109,ham,dont worry guess busy
110,ham,plural noun research
111,ham,go
112,ham,ok wif co like try new thing scar u dun like mah co u say loud
113,spam,gent try contact last weekend draw show prize guarantee call claim code valid
114,ham,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happen
115,ham,enter cabin pa say happy bos felt special askd lunch lunch invite apartment go
116,spam,winner u specially select receive holiday flight inc speak live operator claim
117,ham,goodo yes must speak friday ratio tortilla need
118,ham,hmm uncle inform pay school directly pls buy food
119,spam,private account statement show unredeemed bonus point claim call identifier code expire
120,spam,urgent mobile award bonus caller prize final try contact u call landline
121,ham,new address pair malarky
122,spam,today voda number end select receive award match please call quote claim code standard rat app
123,ham,go sao mu today do
124,ham,ìï predict wat time finish buy
125,ham,good stuff
126,ham,know yetunde send money yet send text bother send dont involve anything impose anything first place apologise
127,ham,room
128,ham,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
129,ham,k k much cost
130,ham,home
131,ham,dear call accomodate
132,ham,first answer question
133,spam,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sp tyrone
134,spam,want get lay tonight want real dog location send direct ur mob join uk largest dog network bt txting gravel nt
135,ham,haf msn yijue
136,ham,call meet
137,ham,check room befor activity
138,spam,rcv msg chat svc free hardcore service text go u get nothing u must age verify yr network try
139,ham,get c lazy type forget lect saw pouch like v nice
140,ham,k text way
141,ham,sir wait mail
142,ham,swt think get tire little thing lovable person coz somtimes little thing occupy biggest part heart gud
143,ham,know pls open back
144,ham,yes see ya dot
145,ham,whats staff name take class u
146,spam,freemsg reply text randy sexy female live local luv hear netcollex ltd per msg reply stop end
147,ham,call check life begin qatar pls pray hard
148,ham,k delete contact
149,ham,sindu get job birla soft
150,ham,wine flow nevering
151,ham,yup thk cine better co need go plaza mah
152,ham,ok ur typical reply
153,ham,per request melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
154,ham,everywhere dirt floor window even shirt sometimes open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time do become one
155,ham,aaooooright work
